import time: self [us] | cumulative | imported package
import time:       165 |        165 | winreg
import time:       226 |        226 |   _io
import time:        31 |         31 |   marshal
import time:       141 |        141 |   nt
import time:       528 |        924 | _frozen_importlib_external
import time:       419 |        419 |   time
import time:       184 |        603 | zipimport
import time:       244 |        244 |     _codecs
import time:       900 |       1143 |   codecs
import time:      1470 |       1470 |   encodings.aliases
import time:      8491 |      11102 | encodings
import time:       942 |        942 | encodings.utf_8
import time:       762 |        762 | encodings.cp1252
import time:        65 |         65 | _signal
import time:        31 |         31 |     _abc
import time:       222 |        253 |   abc
import time:       277 |        529 | io
import time:       149 |        149 |       _stat
import time:       367 |        515 |     stat
import time:       594 |        594 |     _collections_abc
import time:        40 |         40 |       genericpath
import time:        79 |         79 |       _winapi
import time:       714 |        832 |     ntpath
import time:       570 |       2510 |   os
import time:        52 |         52 |   _sitebuiltins
import time:      3678 |       3678 |   _distutils_hack
import time:      1629 |       1629 |   sitecustomize
import time:      1129 |       1129 |   usercustomize
import time:      2623 |      11618 | site
import time:      4758 |       4758 |   img_player
import time:      3691 |       3691 |   __future__
import time:      3050 |       3050 |         types
import time:       107 |        107 |           _operator
import time:      4369 |       4476 |         operator
import time:       120 |        120 |             itertools
import time:      1394 |       1394 |             keyword
import time:      2073 |       2073 |             reprlib
import time:        95 |         95 |             _collections
import time:      3962 |       7643 |           collections
import time:        70 |         70 |           _functools
import time:      3311 |      11022 |         functools
import time:      4965 |      23511 |       enum
import time:       292 |        292 |         _sre
import time:      1159 |       1159 |           re._constants
import time:      2083 |       3241 |         re._parser
import time:       660 |        660 |         re._casefix
import time:      2874 |       7067 |       re._compiler
import time:      2616 |       2616 |       copyreg
import time:      2894 |      36086 |     re
import time:      1657 |       1657 |     warnings
import time:      2100 |       2100 |     gettext
import time:      3554 |      43396 |   argparse
import time:       561 |        561 |       collections.abc
import time:      2419 |       2419 |           token
import time:      2276 |       4694 |         tokenize
import time:      1431 |       6125 |       linecache
import time:      4109 |       4109 |       textwrap
import time:      3582 |       3582 |       contextlib
import time:      3373 |      17749 |     traceback
import time:      1863 |       1863 |       _weakrefset
import time:      2935 |       4798 |     weakref
import time:        48 |         48 |       _string
import time:      2111 |       2158 |     string
import time:      1866 |       1866 |     threading
import time:        76 |         76 |     atexit
import time:      7061 |      33706 |   logging
import time:      1436 |       1436 |         posix
import time:       465 |       1900 |       posixpath
import time:      2158 |       4058 |     fnmatch
import time:       100 |        100 |     errno
import time:      1799 |       1799 |       urllib
import time:      2875 |       2875 |       ipaddress
import time:      1733 |       6405 |     urllib.parse
import time:      4616 |      15178 |   pathlib
import time:        97 |         97 |           binascii
import time:      2351 |       2351 |             importlib
import time:       584 |        584 |             importlib._abc
import time:       511 |       3445 |           importlib.util
import time:        72 |         72 |             zlib
import time:      3391 |       3391 |               _compression
import time:      4104 |       4104 |               _bz2
import time:      2015 |       9510 |             bz2
import time:      3141 |       3141 |               _lzma
import time:      2182 |       5322 |             lzma
import time:      2562 |      17464 |           shutil
import time:       107 |        107 |             _struct
import time:      1900 |       2007 |           struct
import time:      3139 |      26150 |         zipfile
import time:      3318 |       3318 |         base64
import time:        82 |         82 |             math
import time:        39 |         39 |               _bisect
import time:      1560 |       1599 |             bisect
import time:        71 |         71 |             _random
import time:        67 |         67 |             _sha512
import time:      3744 |       5562 |           random
import time:      2730 |       8291 |         tempfile
import time:        40 |         40 |           _typing
import time:      3626 |       3666 |         typing
import time:        86 |         86 |           importlib.machinery
import time:      1181 |       1181 |           encodings.cp437
import time:       934 |        934 |           shibokensupport
import time:       115 |        115 |           shibokensupport.signature
import time:        69 |         69 |                   _ast
import time:      2663 |       2732 |                 ast
import time:       131 |        131 |                     _opcode
import time:      3150 |       3280 |                   opcode
import time:      2423 |       5703 |                 dis
import time:      4273 |      12708 |               inspect
import time:      1226 |      13933 |             shibokensupport.feature
import time:      3561 |       3561 |             shibokensupport.signature.mapping
import time:      1007 |       1007 |             shibokensupport.signature.errorhandler
import time:       101 |        101 |                   shibokensupport.signature.lib
import time:       803 |        903 |                 shibokensupport.signature.lib.tool
import time:     11777 |      12680 |               shibokensupport.signature.parser
import time:      2440 |      15120 |             shibokensupport.signature.layout
import time:      1571 |       1571 |               PySide6.support
import time:      1042 |       1042 |               PySide6.support.deprecated
import time:      1288 |       3899 |             shibokensupport.signature.importhandler
import time:      3522 |       3522 |             shibokensupport.signature.lib.enum_sig
import time:     11497 |      11497 |             shibokensupport.signature.lib.pyi_generator
import time:      2448 |      54984 |           shibokensupport.signature.loader
import time:      7425 |      64722 |         shiboken6.Shiboken
import time:      3219 |     109363 |       shiboken6
import time:      4336 |     113698 |     PySide6
import time:     17641 |     131339 |   PySide6.QtCore
import time:      3781 |       3781 |     PySide6.QtGui
import time:      9016 |      12797 |   PySide6.QtWidgets
import time:      1391 |       1391 |                 org
import time:       144 |       1535 |               org.python
import time:       108 |       1642 |             org.python.core
import time:      4453 |       6095 |           copy
import time:      4865 |      10960 |         dataclasses
import time:      4425 |       4425 |         img_player.annotate.stroke
import time:     13371 |      28755 |       img_player.annotate.store
import time:      4849 |       4849 |         img_player.render
import time:      2100 |       2100 |           _ctypes
import time:      1354 |       1354 |           ctypes._endian
import time:      4251 |       7704 |         ctypes
import time:      1546 |       1546 |           numpy.version
import time:      1256 |       1256 |           numpy._expired_attrs_2_0
import time:      1011 |       1011 |               numpy._utils._convertions
import time:      1315 |       2325 |             numpy._utils
import time:      1542 |       3867 |           numpy._globals
import time:        77 |         77 |             numpy._distributor_init_local
import time:      1181 |       1257 |           numpy._distributor_init
import time:       227 |        227 |                       _datetime
import time:      3553 |       3779 |                     datetime
import time:      1474 |       1474 |                     numpy.exceptions
import time:      1068 |       1068 |                     numpy._core._exceptions
import time:        63 |         63 |                         _contextvars
import time:      2085 |       2148 |                       contextvars
import time:      1732 |       3879 |                     numpy._core.printoptions
import time:       724 |        724 |                     numpy.dtypes
import time:      8344 |      19266 |                   numpy._core._multiarray_umath
import time:      1855 |       1855 |                     numpy._utils._inspect
import time:      2871 |       4725 |                   numpy._core.overrides
import time:      3045 |      27035 |                 numpy._core.multiarray
import time:      1310 |       1310 |                 numpy._core.umath
import time:      1881 |       1881 |                   numbers
import time:      1021 |       1021 |                   numpy._core._dtype
import time:       819 |        819 |                   numpy._core._string_helpers
import time:       699 |        699 |                   numpy._core._type_aliases
import time:      3262 |       7680 |                 numpy._core.numerictypes
import time:      2047 |       2047 |                             _compat_pickle
import time:       133 |        133 |                             _pickle
import time:      1892 |       1892 |                                 org
import time:       263 |       2154 |                               org.python
import time:       161 |       2314 |                             org.python.core
import time:      4161 |       8654 |                           pickle
import time:      2208 |      10861 |                         numpy._core._methods
import time:      2971 |      13832 |                       numpy._core.fromnumeric
import time:      2142 |      15973 |                     numpy._core.shape_base
import time:      2137 |       2137 |                     numpy._core._ufunc_config
import time:      1192 |       1192 |                     numpy._core._asarray
import time:      2442 |       2442 |                     numpy._core.arrayprint
import time:      5244 |      26988 |                   numpy._core.numeric
import time:       948 |      27935 |                 numpy._core.einsumfunc
import time:       951 |        951 |                 numpy._core.function_base
import time:       689 |        689 |                 numpy._core.getlimits
import time:       625 |        625 |                 numpy._core.memmap
import time:       661 |        661 |                 numpy._core.records
import time:      6767 |       6767 |                 numpy._core._add_newdocs
import time:      2021 |       2021 |                 numpy._core._add_newdocs_scalars
import time:       935 |        935 |                 numpy._core._dtype_ctypes
import time:      2217 |       2217 |                 numpy._core._internal
import time:       784 |        784 |                 numpy._pytesttester
import time:      5873 |      85476 |               numpy._core
import time:       204 |      85679 |             numpy._core._multiarray_umath
import time:       986 |      86665 |           numpy.__config__
import time:       628 |        628 |                             numpy._typing._nbit_base
import time:       989 |        989 |                             numpy._typing._nested_sequence
import time:       888 |        888 |                             numpy._typing._shape
import time:      4546 |       7050 |                           numpy._typing._array_like
import time:      3161 |       3161 |                           numpy._typing._char_codes
import time:      4487 |       4487 |                           numpy._typing._dtype_like
import time:       637 |        637 |                           numpy._typing._nbit
import time:       592 |        592 |                           numpy._typing._scalars
import time:       491 |        491 |                           numpy._typing._ufunc
import time:      3969 |      20384 |                         numpy._typing
import time:      2461 |       2461 |                           numpy.lib._stride_tricks_impl
import time:      1478 |       3939 |                         numpy.lib._twodim_base_impl
import time:      1544 |       1544 |                           numpy.lib._array_utils_impl
import time:      2070 |       3614 |                         numpy.lib.array_utils
import time:      2312 |       2312 |                         numpy.linalg._umath_linalg
import time:      4241 |      34488 |                       numpy.linalg._linalg
import time:      1908 |      36395 |                     numpy.linalg
import time:      1423 |      37817 |                   numpy.matrixlib.defmatrix
import time:      2720 |      40537 |                 numpy.matrixlib
import time:       855 |        855 |                   numpy.lib._histograms_impl
import time:      2627 |       3482 |                 numpy.lib._function_base_impl
import time:      3194 |      47213 |               numpy.lib._index_tricks_impl
import time:      2070 |      49282 |             numpy.lib._arraypad_impl
import time:      1217 |       1217 |             numpy.lib._arraysetops_impl
import time:       624 |        624 |             numpy.lib._arrayterator_impl
import time:      2556 |       2556 |             numpy.lib._nanfunctions_impl
import time:      4458 |       4458 |                     platform
import time:      1880 |       6338 |                   numpy.lib._utils_impl
import time:      1757 |       8095 |                 numpy.lib._format_impl
import time:      1472 |       9566 |               numpy.lib.format
import time:       856 |        856 |               numpy.lib._datasource
import time:      1170 |       1170 |               numpy.lib._iotools
import time:      4049 |      15641 |             numpy.lib._npyio_impl
import time:       857 |        857 |                 numpy.lib._ufunclike_impl
import time:      1862 |       2719 |               numpy.lib._type_check_impl
import time:      2976 |       5694 |             numpy.lib._polynomial_impl
import time:       908 |        908 |             numpy.lib._shape_base_impl
import time:       809 |        809 |             numpy.lib._version
import time:       784 |        784 |             numpy.lib.introspect
import time:      1462 |       1462 |             numpy.lib.mixins
import time:      1377 |       1377 |             numpy.lib.npyio
import time:       732 |        732 |               numpy.lib._scimath_impl
import time:      1184 |       1916 |             numpy.lib.scimath
import time:       931 |        931 |             numpy.lib.stride_tricks
import time:      4602 |      87797 |           numpy.lib
import time:      1386 |       1386 |           numpy._array_api_info
import time:     24803 |     208575 |         numpy
import time:      1100 |       1100 |           OpenGL.version
import time:       534 |        534 |           OpenGL.plugins
import time:      2881 |       4515 |         OpenGL
import time:       690 |        690 |               OpenGL._configflags
import time:        87 |         87 |                         _locale
import time:      4564 |       4651 |                       locale
import time:      3023 |       3023 |                       signal
import time:      1246 |       1246 |                       fcntl
import time:        78 |         78 |                       msvcrt
